"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Afternoon workout 💪","4 Jan 2026, 12:52","4 Jan 2026, 14:12","","Triceps Pushdown",,"",2,"normal",88,7,,,
"Afternoon workout 💪","4 Jan 2026, 12:52","4 Jan 2026, 14:12","","Seated Chest Flys (Cable)",,"",0,"normal",60,11,,,
"Afternoon workout 💪","4 Jan 2026, 12:52","4 Jan 2026, 14:12","","Seated Chest Flys (Cable)",,"",1,"normal",60,8,,,
"Afternoon workout 💪","3 Jan 2026, 12:50","3 Jan 2026, 13:20","","Shoulder Press (Machine Plates)",,"",0,"normal",135,9,,,
"Afternoon workout 💪","3 Jan 2026, 12:50","3 Jan 2026, 13:20","","Shoulder Press (Machine Plates)",,"",1,"normal",135,7,,,
"Afternoon workout 💪","3 Jan 2026, 12:50","3 Jan 2026, 13:20","","Lat Pulldown (Cable)",,"",0,"normal",187,7,,,
"Afternoon workout 💪","3 Jan 2026, 12:50","3 Jan 2026, 13:20","","Lat Pulldown (Cable)",,"",1,"normal",165,9,,,
"Afternoon workout 💪","3 Jan 2026, 12:50","3 Jan 2026, 13:20","","Straight Arm Lat Pulldown (Cable)",,"",0,"normal",49.5,12,,,
"Afternoon workout 💪","3 Jan 2026, 12:50","3 Jan 2026, 13:20","","Straight Arm Lat Pulldown (Cable)",,"",1,"normal",49.5,12,,,
"Afternoon workout 💪","3 Jan 2026, 12:50","3 Jan 2026, 13:20","","Lateral Raise (Dumbbell)",,"",0,"normal",30,12,,,
"Afternoon workout 💪","3 Jan 2026, 12:50","3 Jan 2026, 13:20","","Lateral Raise (Dumbbell)",,"",1,"normal",30,9,,,
"Afternoon workout 💪","3 Jan 2026, 12:50","3 Jan 2026, 13:20","","Preacher Curl (Machine)",,"",0,"normal",100,6,,,
"Afternoon workout 💪","3 Jan 2026, 12:50","3 Jan 2026, 13:20","","Preacher Curl (Machine)",,"",1,"normal",70,12,,,
"Morning workout ☀️","2 Jan 2026, 07:37","2 Jan 2026, 08:09","","Bench Press (Barbell)",,"Wide grip backdowns",0,"normal",245,2,,,
"Morning workout ☀️","2 Jan 2026, 07:37","2 Jan 2026, 08:09","","Bench Press (Barbell)",,"Wide grip backdowns",1,"normal",185,6,,,
"Morning workout ☀️","2 Jan 2026, 07:37","2 Jan 2026, 08:09","","Bench Press (Barbell)",,"Wide grip backdowns",2,"normal",185,6,,,
"Morning workout ☀️","2 Jan 2026, 07:37","2 Jan 2026, 08:09","","Incline Bench Press (Dumbbell)",,"",0,"normal",85,9,,,
"Morning workout ☀️","2 Jan 2026, 07:37","2 Jan 2026, 08:09","","Triceps Pushdown",,"",0,"normal",82.5,11,,,
"Morning workout ☀️","2 Jan 2026, 07:37","2 Jan 2026, 08:09","","Triceps Pushdown",,"",1,"normal",82.5,10,,,
"Afternoon workout 💪","1 Jan 2026, 14:12","1 Jan 2026, 16:14","","Clean",,"",0,"normal",165,3,,,
"Afternoon workout 💪","1 Jan 2026, 14:12","1 Jan 2026, 16:14","","Clean",,"",1,"normal",165,3,,,
"Afternoon workout 💪","1 Jan 2026, 14:12","1 Jan 2026, 16:14","","Clean",,"",2,"normal",165,3,,,
"Afternoon workout 💪","1 Jan 2026, 14:12","1 Jan 2026, 16:14","","Clean",,"",3,"normal",165,3,,,
"Afternoon workout 💪","1 Jan 2026, 14:12","1 Jan 2026, 16:14","","Front Squat",,"",0,"normal",205,8,,,
"Afternoon workout 💪","1 Jan 2026, 14:12","1 Jan 2026, 16:14","","Front Squat",,"",1,"normal",225,6,,,
"Afternoon workout 💪","1 Jan 2026, 14:12","1 Jan 2026, 16:14","","Zercher Squat",,"",0,"normal",205,6,,,
"Afternoon workout 💪","1 Jan 2026, 14:12","1 Jan 2026, 16:14","","Zercher Squat",,"",1,"normal",225,4,,,
"Afternoon workout 💪","1 Jan 2026, 14:12","1 Jan 2026, 16:14","","Hip Thrust (Machine)",,"",0,"normal",250,8,,,
"Afternoon workout 💪","1 Jan 2026, 14:12","1 Jan 2026, 16:14","","Hip Thrust (Machine)",,"",1,"normal",180,6,,,
"Afternoon workout 💪","1 Jan 2026, 14:12","1 Jan 2026, 16:14","","Lying Leg Curl (Machine)",,"",0,"normal",140,10,,,
"Afternoon workout 💪","1 Jan 2026, 14:12","1 Jan 2026, 16:14","","Lying Leg Curl (Machine)",,"",1,"normal",140,7,,,
"Afternoon workout 💪","1 Jan 2026, 14:12","1 Jan 2026, 16:14","","Single Leg Extensions",,"",0,"normal",130,9,,,
"Afternoon workout 💪","1 Jan 2026, 14:12","1 Jan 2026, 16:14","","Single Leg Extensions",,"",1,"normal",70,12,,,
"Afternoon workout 💪","1 Jan 2026, 14:12","1 Jan 2026, 16:14","","Hip Abduction (Machine)",,"",0,"normal",180,10,,,
"Afternoon workout 💪","1 Jan 2026, 14:12","1 Jan 2026, 16:14","","Hip Abduction (Machine)",,"",1,"normal",140,13,,,
"Afternoon workout 💪","31 Dec 2025, 15:23","31 Dec 2025, 16:30","","Overhead Press (Smith Machine)",,"",0,"normal",90,5,,,
"Afternoon workout 💪","31 Dec 2025, 15:23","31 Dec 2025, 16:30","","Overhead Press (Smith Machine)",,"",1,"normal",90,4,,,
"Afternoon workout 💪","31 Dec 2025, 15:23","31 Dec 2025, 16:30","","Overhead Press (Smith Machine)",,"",2,"normal",60,11,,,
"Afternoon workout 💪","31 Dec 2025, 15:23","31 Dec 2025, 16:30","","Lat Pulldown (Cable)",,"",0,"normal",209,7,,,
"Afternoon workout 💪","31 Dec 2025, 15:23","31 Dec 2025, 16:30","","Lat Pulldown (Cable)",,"",1,"normal",209,5,,,
"Afternoon workout 💪","31 Dec 2025, 15:23","31 Dec 2025, 16:30","","Lat Pulldown (Cable)",,"",2,"normal",165,10,,,
"Afternoon workout 💪","31 Dec 2025, 15:23","31 Dec 2025, 16:30","","Seated Cable Row - Bar Wide Grip",,"",0,"normal",165,8,,,
"Afternoon workout 💪","31 Dec 2025, 15:23","31 Dec 2025, 16:30","","Seated Cable Row - Bar Wide Grip",,"",1,"normal",165,9,,,
"Afternoon workout 💪","31 Dec 2025, 15:23","31 Dec 2025, 16:30","","Rear Delt Reverse Fly (Cable)",,"",0,"normal",20,12,,,
"Afternoon workout 💪","31 Dec 2025, 15:23","31 Dec 2025, 16:30","","Rear Delt Reverse Fly (Cable)",,"",1,"normal",20,14,,,
"Afternoon workout 💪","31 Dec 2025, 15:23","31 Dec 2025, 16:30","","Hammer Curl (Dumbbell)",,"",0,"normal",45,7,,,
"Afternoon workout 💪","31 Dec 2025, 15:23","31 Dec 2025, 16:30","","Hammer Curl (Dumbbell)",,"",1,"normal",45,9,,,
"Afternoon workout 💪","31 Dec 2025, 15:23","31 Dec 2025, 16:30","","Preacher Curl (Machine)",,"",0,"normal",100,7,,,
"Afternoon workout 💪","31 Dec 2025, 15:23","31 Dec 2025, 16:30","","Preacher Curl (Machine)",,"",1,"normal",80,11,,,
"Morning workout ☀️","30 Dec 2025, 11:31","30 Dec 2025, 12:39","","Bench Press (Barbell)",,"Larsen backdowns",0,"normal",255,1,,,
"Morning workout ☀️","30 Dec 2025, 11:31","30 Dec 2025, 12:39","","Bench Press (Barbell)",,"Larsen backdowns",1,"normal",225,4,,,
"Morning workout ☀️","30 Dec 2025, 11:31","30 Dec 2025, 12:39","","Bench Press (Barbell)",,"Larsen backdowns",2,"normal",225,4,,,
"Morning workout ☀️","30 Dec 2025, 11:31","30 Dec 2025, 12:39","","Bench Press (Barbell)",,"Larsen backdowns",3,"normal",225,4,,,
"Morning workout ☀️","30 Dec 2025, 11:31","30 Dec 2025, 12:39","","Incline Bench Press (Dumbbell)",,"",0,"normal",95,6,,,
"Morning workout ☀️","30 Dec 2025, 11:31","30 Dec 2025, 12:39","","Incline Bench Press (Dumbbell)",,"",1,"normal",95,5,,,
"Morning workout ☀️","30 Dec 2025, 11:31","30 Dec 2025, 12:39","","Seated Chest Flys (Cable)",,"",0,"normal",60,9,,,
"Morning workout ☀️","30 Dec 2025, 11:31","30 Dec 2025, 12:39","","Seated Chest Flys (Cable)",,"",1,"normal",60,8,,,
"Morning workout ☀️","30 Dec 2025, 11:31","30 Dec 2025, 12:39","","Lateral Raise (Dumbbell)",,"",0,"normal",30,10,,,
"Morning workout ☀️","30 Dec 2025, 11:31","30 Dec 2025, 12:39","","Lateral Raise (Dumbbell)",,"",1,"normal",30,10,,,
"Morning workout ☀️","30 Dec 2025, 11:31","30 Dec 2025, 12:39","","Triceps Extension (Cable)",,"",0,"normal",71.5,8,,,
"Morning workout ☀️","30 Dec 2025, 11:31","30 Dec 2025, 12:39","","Triceps Extension (Cable)",,"",1,"normal",71.5,7,,,
"Morning workout ☀️","30 Dec 2025, 11:31","30 Dec 2025, 12:39","","Single Arm Triceps Pushdown (Cable)",,"",0,"normal",33,9,,,
"Morning workout ☀️","30 Dec 2025, 11:31","30 Dec 2025, 12:39","","Single Arm Triceps Pushdown (Cable)",,"",1,"normal",33,8,,,
"Afternoon workout 💪","29 Dec 2025, 12:36","29 Dec 2025, 14:23","","Clean",,"",0,"normal",225,1,,,
"Afternoon workout 💪","29 Dec 2025, 12:36","29 Dec 2025, 14:23","","Clean Pull",,"Complexes: pull, clean",0,"normal",165,3,,,
"Afternoon workout 💪","29 Dec 2025, 12:36","29 Dec 2025, 14:23","","Clean Pull",,"Complexes: pull, clean",1,"normal",165,3,,,
"Afternoon workout 💪","29 Dec 2025, 12:36","29 Dec 2025, 14:23","","Clean Pull",,"Complexes: pull, clean",2,"normal",165,3,,,
"Afternoon workout 💪","29 Dec 2025, 12:36","29 Dec 2025, 14:23","","Front Squat",,"1.5",0,"normal",185,3,,,
"Afternoon workout 💪","29 Dec 2025, 12:36","29 Dec 2025, 14:23","","Front Squat",,"1.5",1,"normal",185,3,,,
"Afternoon workout 💪","29 Dec 2025, 12:36","29 Dec 2025, 14:23","","Front Squat",,"1.5",2,"normal",185,3,,,
"Afternoon workout 💪","29 Dec 2025, 12:36","29 Dec 2025, 14:23","","Zercher Squat",,"",0,"normal",165,8,,,
"Afternoon workout 💪","29 Dec 2025, 12:36","29 Dec 2025, 14:23","","Zercher Squat",,"",1,"normal",165,8,,,
"Afternoon workout 💪","29 Dec 2025, 12:36","29 Dec 2025, 14:23","","Zercher Squat",,"",2,"normal",165,8,,,
"Afternoon workout 💪","29 Dec 2025, 12:36","29 Dec 2025, 14:23","","Hip Thrust (Machine)",,"",0,"normal",225,8,,,
"Afternoon workout 💪","29 Dec 2025, 12:36","29 Dec 2025, 14:23","","Hip Thrust (Machine)",,"",1,"normal",225,10,,,
"Afternoon workout 💪","29 Dec 2025, 12:36","29 Dec 2025, 14:23","","Good Morning (Barbell)",,"Smith",0,"normal",45,8,,,
"Afternoon workout 💪","29 Dec 2025, 12:36","29 Dec 2025, 14:23","","Good Morning (Barbell)",,"Smith",1,"normal",45,10,,,
"Afternoon workout 💪","29 Dec 2025, 12:36","29 Dec 2025, 14:23","","Single Leg Extensions",,"",0,"normal",120,9,,,
"Afternoon workout 💪","29 Dec 2025, 12:36","29 Dec 2025, 14:23","","Single Leg Extensions",,"",1,"normal",120,8,,,
"Afternoon workout 💪","29 Dec 2025, 12:36","29 Dec 2025, 14:23","","Hip Abduction (Machine)",,"",0,"normal",170,8,,,
"Afternoon workout 💪","29 Dec 2025, 12:36","29 Dec 2025, 14:23","","Hip Abduction (Machine)",,"",1,"normal",170,10,,,
"Afternoon workout 💪","29 Dec 2025, 12:36","29 Dec 2025, 14:23","","Lying Leg Curl (Machine)",,"",0,"normal",140,9,,,
